Year,Team,NOC,Age,Sex,Records,Income
1988,Algeria,ALG,18,F,1,UM
1988,Algeria,ALG,19,M,3,UM
1988,Algeria,ALG,20,F,2,UM
1988,Algeria,ALG,21,M,5,UM
1988,Algeria,ALG,22,M,2,UM
1988,Algeria,ALG,23,M,7,UM
1988,Algeria,ALG,24,M,3,UM
1988,Algeria,ALG,25,M,6,UM
1988,Algeria,ALG,26,M,2,UM
1988,Algeria,ALG,27,M,5,UM
1988,Algeria,ALG,28,M,3,UM
1988,Algeria,ALG,29,M,2,UM
1988,Algeria,ALG,31,M,1,UM
1988,Algeria,ALG,32,M,1,UM
1988,Algeria,ALG,34,M,1,UM
1988,Algeria,ALG,35,M,1,UM
1988,American Samoa,ASA,22,M,2,H
1988,American Samoa,ASA,24,M,1,H
1988,American Samoa,ASA,28,M,1,H
1988,American Samoa,ASA,29,M,1,H
1988,American Samoa,ASA,37,M,1,H
1988,Andorra,AND,20,M,1,
1988,Andorra,AND,21,M,1,
1988,Andorra,AND,24,M,2,
1988,Angola,ANG,13,F,1,LM
1988,Angola,ANG,14,F,6,LM
1988,Angola,ANG,16,F,2,LM
1988,Angola,ANG,16,M,2,LM
1988,Angola,ANG,17,M,4,LM
1988,Angola,ANG,18,F,2,LM
1988,Angola,ANG,20,M,1,LM
1988,Angola,ANG,21,M,1,LM
1988,Angola,ANG,22,M,3,LM
1988,Angola,ANG,23,M,2,LM
1988,Angola,ANG,24,M,3,LM
1988,Angola,ANG,25,M,2,LM
1988,Angola,ANG,28,M,2,LM
1988,Angola,ANG,30,M,1,LM
1988,Angola,ANG,37,M,1,LM
1988,Antigua and Barbuda,ANT,16,M,1,UM
1988,Antigua and Barbuda,ANT,17,F,1,UM
1988,Antigua and Barbuda,ANT,20,M,2,UM
1988,Antigua and Barbuda,ANT,21,M,2,UM
1988,Antigua and Barbuda,ANT,22,M,2,UM
1988,Antigua and Barbuda,ANT,23,F,2,UM
1988,Antigua and Barbuda,ANT,23,M,3,UM
1988,Antigua and Barbuda,ANT,24,F,1,UM
1988,Antigua and Barbuda,ANT,24,M,4,UM
1988,Antigua and Barbuda,ANT,25,M,2,UM
1988,Antigua and Barbuda,ANT,26,M,2,UM
1988,Antigua and Barbuda,ANT,29,M,3,UM
1988,Argentina,ARG,17,M,1,UM
1988,Argentina,ARG,18,F,3,UM
1988,Argentina,ARG,18,M,2,UM
1988,Argentina,ARG,19,F,2,UM
1988,Argentina,ARG,19,M,4,UM
1988,Argentina,ARG,20,F,3,UM
1988,Argentina,ARG,20,M,8,UM
1988,Argentina,ARG,21,F,2,UM
1988,Argentina,ARG,21,M,8,UM
1988,Argentina,ARG,22,F,6,UM
1988,Argentina,ARG,22,M,8,UM
1988,Argentina,ARG,23,F,1,UM
1988,Argentina,ARG,23,M,16,UM
1988,Argentina,ARG,24,F,1,UM
1988,Argentina,ARG,24,M,5,UM
1988,Argentina,ARG,25,F,2,UM
1988,Argentina,ARG,25,M,11,UM
1988,Argentina,ARG,26,F,6,UM
1988,Argentina,ARG,26,M,10,UM
1988,Argentina,ARG,27,F,1,UM
1988,Argentina,ARG,27,M,6,UM
1988,Argentina,ARG,28,F,3,UM
1988,Argentina,ARG,28,M,8,UM
1988,Argentina,ARG,29,M,3,UM
1988,Argentina,ARG,30,F,1,UM
1988,Argentina,ARG,31,M,1,UM
1988,Argentina,ARG,32,M,1,UM
1988,Argentina,ARG,33,M,1,UM
1988,Argentina,ARG,34,M,2,UM
1988,Argentina,ARG,36,M,1,UM
1988,Argentina,ARG,37,M,1,UM
1988,Argentina,ARG,39,F,1,UM
1988,Argentina,ARG,39,M,1,UM
1988,Argentina,ARG,43,M,2,UM
1988,Argentina,ARG,45,M,1,UM
1988,Argentina,ARG,49,M,1,UM
