Year,Age,Sex,Income,Records
1988,11,F,L,1
1988,13,F,LM,4
1988,13,M,LM,3
1988,14,F,H,16
1988,14,F,L,2
1988,14,F,LM,17
1988,14,F,UM,9
1988,14,M,L,1
1988,15,F,H,83
1988,15,F,L,14
1988,15,F,LM,8
1988,15,F,UM,57
1988,15,M,H,5
1988,15,M,LM,3
1988,15,M,UM,11
1988,16,F,H,104
1988,16,F,L,16
1988,16,F,LM,20
1988,16,F,UM,43
1988,16,M,H,21
1988,16,M,L,8
1988,16,M,LM,10
1988,16,M,UM,5
1988,17,F,H,98
1988,17,F,L,40
1988,17,F,LM,23
1988,17,F,UM,56
1988,17,M,H,45
1988,17,M,L,13
1988,17,M,LM,34
1988,17,M,UM,17
1988,18,F,H,98
1988,18,F,L,20
1988,18,F,LM,25
1988,18,F,UM,54
1988,18,M,H,98
1988,18,M,L,21
1988,18,M,LM,38
1988,18,M,UM,63
1988,19,F,H,105
1988,19,F,L,20
1988,19,F,LM,29
1988,19,F,UM,53
1988,19,M,H,205
1988,19,M,L,48
1988,19,M,LM,75
1988,19,M,UM,74
1988,20,F,H,118
1988,20,F,L,22
1988,20,F,LM,31
1988,20,F,UM,38
1988,20,M,H,308
1988,20,M,L,74
1988,20,M,LM,92
1988,20,M,UM,117
1988,21,F,H,158
1988,21,F,L,21
1988,21,F,LM,22
1988,21,F,UM,33
1988,21,M,H,352
1988,21,M,L,71
1988,21,M,LM,114
1988,21,M,UM,140
1988,22,F,H,153
1988,22,F,L,20
1988,22,F,LM,26
1988,22,F,UM,41
1988,22,M,H,501
1988,22,M,L,60
1988,22,M,LM,107
1988,22,M,UM,92
1988,23,F,H,223
1988,23,F,L,18
1988,23,F,LM,21
1988,23,F,UM,29
1988,23,M,H,429
1988,23,M,L,91
1988,23,M,LM,101
1988,23,M,UM,150
1988,24,F,H,167
1988,24,F,L,28
1988,24,F,LM,31
1988,24,F,UM,19
1988,24,M,H,485
1988,24,M,L,72
1988,24,M,LM,131
1988,24,M,UM,96
1988,25,F,H,114
1988,25,F,L,25
1988,25,F,LM,14
1988,25,F,UM,20
1988,25,M,H,448
1988,25,M,L,94
1988,25,M,LM,84
1988,25,M,UM,94
1988,26,F,H,95
1988,26,F,L,16
1988,26,F,LM,19
1988,26,F,UM,21
1988,26,M,H,365
1988,26,M,L,55
1988,26,M,LM,98
1988,26,M,UM,99
1988,27,F,H,74
1988,27,F,L,10
1988,27,F,LM,5
1988,27,F,UM,6
1988,27,M,H,339
1988,27,M,L,30
1988,27,M,LM,75
1988,27,M,UM,66
1988,28,F,H,74
1988,28,F,L,4
1988,28,F,LM,12
1988,28,F,UM,7
1988,28,M,H,240
1988,28,M,L,54
1988,28,M,LM,61
1988,28,M,UM,75
1988,29,F,H,59
1988,29,F,L,4
1988,29,F,LM,7
1988,29,F,UM,9
1988,29,M,H,212
1988,29,M,L,25
1988,29,M,LM,49
1988,29,M,UM,40
1988,30,F,H,44
1988,30,F,L,3
1988,30,F,LM,6
1988,30,F,UM,8
1988,30,M,H,148
1988,30,M,L,21
1988,30,M,LM,50
1988,30,M,UM,24
1988,31,F,H,43
1988,31,F,L,5
1988,31,F,LM,4
1988,31,F,UM,4
1988,31,M,H,130
1988,31,M,L,14
1988,31,M,LM,29
1988,31,M,UM,11
1988,32,F,H,18
1988,32,F,L,3
1988,32,F,LM,5
1988,32,M,H,115
1988,32,M,L,11
1988,32,M,LM,17
1988,32,M,UM,20
1988,33,F,H,20
1988,33,F,L,1
1988,33,F,LM,10
1988,33,M,H,60
1988,33,M,L,4
