Year,Team,NOC,Age,Sex,Records,Income
1988,Argentina,ARG,18,F,1,UM
1988,Argentina,ARG,21,M,2,UM
1988,Argentina,ARG,22,M,1,UM
1988,Argentina,ARG,23,M,2,UM
1988,Argentina,ARG,24,M,1,UM
1988,Argentina,ARG,25,M,1,UM
1988,Argentina,ARG,26,M,3,UM
1988,Argentina,ARG,27,M,1,UM
1988,Argentina,ARG,28,M,1,UM
1988,Australia,AUS,18,F,1,H
1988,Australia,AUS,18,M,1,H
1988,Australia,AUS,19,M,2,H
1988,Australia,AUS,20,M,2,H
1988,Australia,AUS,21,F,4,H
1988,Australia,AUS,21,M,1,H
1988,Australia,AUS,22,M,4,H
1988,Australia,AUS,23,F,2,H
1988,Australia,AUS,23,M,1,H
1988,Australia,AUS,24,F,1,H
1988,Australia,AUS,24,M,1,H
1988,Australia,AUS,25,F,5,H
1988,Australia,AUS,25,M,1,H
1988,Australia,AUS,26,F,3,H
1988,Australia,AUS,28,F,2,H
1988,Australia,AUS,28,M,1,H
1988,Australia,AUS,29,F,1,H
1988,Australia,AUS,31,F,1,H
1988,Australia,AUS,35,F,1,H
1988,Austria,AUT,21,F,1,H
1988,Austria,AUT,21,M,2,H
1988,Austria,AUT,22,M,2,H
1988,Austria,AUT,23,F,1,H
1988,Austria,AUT,23,M,2,H
1988,Austria,AUT,24,M,2,H
1988,Austria,AUT,25,M,2,H
1988,Austria,AUT,28,M,1,H
1988,Belgium,BEL,32,M,1,H
1988,Belgium,BEL,34,M,1,H
1988,Brazil,BRA,19,M,2,LM
1988,Brazil,BRA,22,M,3,LM
1988,Brazil,BRA,24,M,8,LM
1988,Brazil,BRA,25,M,3,LM
1988,Brazil,BRA,26,M,1,LM
1988,Brazil,BRA,27,M,1,LM
1988,Brazil,BRA,28,M,3,LM
1988,Brazil,BRA,31,M,1,LM
1988,Brazil,BRA,42,M,1,LM
1988,Bulgaria,BUL,17,F,2,
1988,Bulgaria,BUL,18,F,1,
1988,Bulgaria,BUL,19,M,1,
1988,Bulgaria,BUL,20,F,1,
1988,Bulgaria,BUL,20,M,2,
1988,Bulgaria,BUL,21,F,2,
1988,Bulgaria,BUL,21,M,1,
1988,Bulgaria,BUL,22,F,2,
1988,Bulgaria,BUL,22,M,3,
1988,Bulgaria,BUL,23,F,3,
1988,Bulgaria,BUL,23,M,1,
1988,Bulgaria,BUL,24,F,3,
1988,Bulgaria,BUL,24,M,4,
1988,Bulgaria,BUL,25,F,3,
1988,Bulgaria,BUL,25,M,1,
1988,Bulgaria,BUL,26,F,2,
