Season,Year,Medal,Team,NOC,Age,Sex,Records,Income
Summer,1988,Bronze,Argentina,ARG,21,M,2,UM
Summer,1988,Bronze,Argentina,ARG,22,M,1,UM
Summer,1988,Bronze,Argentina,ARG,23,M,2,UM
Summer,1988,Bronze,Argentina,ARG,24,M,1,UM
Summer,1988,Bronze,Argentina,ARG,25,M,1,UM
Summer,1988,Bronze,Argentina,ARG,26,M,3,UM
Summer,1988,Bronze,Argentina,ARG,27,M,1,UM
Summer,1988,Bronze,Argentina,ARG,28,M,1,UM
Summer,1988,Bronze,Australia,AUS,18,F,1,H
Summer,1988,Bronze,Australia,AUS,18,M,1,H
Summer,1988,Bronze,Australia,AUS,19,M,1,H
Summer,1988,Bronze,Australia,AUS,21,M,1,H
Summer,1988,Bronze,Australia,AUS,22,M,3,H
Summer,1988,Bronze,Australia,AUS,24,M,1,H
Summer,1988,Bronze,Australia,AUS,25,F,1,H
Summer,1988,Bronze,Australia,AUS,28,M,1,H
Summer,1988,Bronze,Australia,AUS,35,F,1,H
Summer,1988,Bronze,Belgium,BEL,32,M,1,H
Summer,1988,Bronze,Belgium,BEL,34,M,1,H
Summer,1988,Bronze,Brazil,BRA,24,M,3,LM
Summer,1988,Bronze,Brazil,BRA,28,M,1,LM
Summer,1988,Bronze,Brazil,BRA,42,M,1,LM
Summer,1988,Bronze,Bulgaria,BUL,17,F,1,
Summer,1988,Bronze,Bulgaria,BUL,20,F,1,
Summer,1988,Bronze,Bulgaria,BUL,20,M,1,
Summer,1988,Bronze,Bulgaria,BUL,21,F,2,
Summer,1988,Bronze,Bulgaria,BUL,21,M,1,
Summer,1988,Bronze,Bulgaria,BUL,22,F,1,
Summer,1988,Bronze,Bulgaria,BUL,22,M,1,
Summer,1988,Bronze,Bulgaria,BUL,23,F,1,
Summer,1988,Bronze,Bulgaria,BUL,24,M,2,
Summer,1988,Bronze,Bulgaria,BUL,25,F,3,
Summer,1988,Bronze,Bulgaria,BUL,26,F,1,
Summer,1988,Bronze,Bulgaria,BUL,28,F,1,
Summer,1988,Bronze,Bulgaria,BUL,29,M,1,
Summer,1988,Bronze,Canada,CAN,15,F,1,H
Summer,1988,Bronze,Canada,CAN,16,F,1,H
Summer,1988,Bronze,Canada,CAN,18,F,2,H
Summer,1988,Bronze,Canada,CAN,19,F,1,H
Summer,1988,Bronze,Canada,CAN,19,M,1,H
Summer,1988,Bronze,Canada,CAN,20,F,1,H
Summer,1988,Bronze,Canada,CAN,24,F,1,H
Summer,1988,Bronze,Canada,CAN,27,M,1,H
Summer,1988,Bronze,Canada,CAN,28,M,2,H
Summer,1988,Bronze,Canada,CAN,30,F,1,H
Summer,1988,Bronze,Canada,CAN,36,F,1,H
Summer,1988,Bronze,Canada,CAN,51,F,1,H
Summer,1988,Bronze,China,CHN,17,F,1,L
Summer,1988,Bronze,China,CHN,19,F,3,L
Summer,1988,Bronze,China,CHN,20,F,3,L
Summer,1988,Bronze,China,CHN,20,M,1,L
Summer,1988,Bronze,China,CHN,21,F,2,L
Summer,1988,Bronze,China,CHN,21,M,2,L
Summer,1988,Bronze,China,CHN,22,F,1,L
Summer,1988,Bronze,China,CHN,23,M,1,L
Summer,1988,Bronze,China,CHN,24,F,4,L
Summer,1988,Bronze,China,CHN,24,M,2,L
Summer,1988,Bronze,China,CHN,25,F,5,L
