Season,Year,Medal,Age,Sex,Income,Records
Summer,1988,Bronze,14,F,H,1
Summer,1988,Bronze,15,F,H,2
Summer,1988,Bronze,15,F,UM,1
Summer,1988,Bronze,16,F,H,1
Summer,1988,Bronze,16,F,UM,1
Summer,1988,Bronze,17,F,L,1
Summer,1988,Bronze,17,F,UM,1
Summer,1988,Bronze,17,M,H,2
Summer,1988,Bronze,18,F,H,4
Summer,1988,Bronze,18,M,H,3
Summer,1988,Bronze,19,F,H,1
Summer,1988,Bronze,19,F,L,3
Summer,1988,Bronze,19,M,H,3
Summer,1988,Bronze,19,M,LM,2
Summer,1988,Bronze,19,M,UM,1
Summer,1988,Bronze,20,F,H,5
Summer,1988,Bronze,20,F,L,3
Summer,1988,Bronze,20,F,LM,1
Summer,1988,Bronze,20,F,UM,1
Summer,1988,Bronze,20,M,H,8
Summer,1988,Bronze,20,M,L,1
Summer,1988,Bronze,20,M,LM,5
Summer,1988,Bronze,20,M,UM,1
Summer,1988,Bronze,21,F,H,4
Summer,1988,Bronze,21,F,L,2
Summer,1988,Bronze,21,F,UM,2
Summer,1988,Bronze,21,M,H,8
Summer,1988,Bronze,21,M,L,3
Summer,1988,Bronze,21,M,UM,4
Summer,1988,Bronze,22,F,H,5
Summer,1988,Bronze,22,F,L,1
Summer,1988,Bronze,22,F,UM,2
Summer,1988,Bronze,22,M,H,21
Summer,1988,Bronze,22,M,UM,2
Summer,1988,Bronze,23,F,H,3
Summer,1988,Bronze,23,F,UM,1
Summer,1988,Bronze,23,M,H,16
Summer,1988,Bronze,23,M,L,1
Summer,1988,Bronze,23,M,LM,1
Summer,1988,Bronze,23,M,UM,8
Summer,1988,Bronze,24,F,H,8
Summer,1988,Bronze,24,F,L,4
Summer,1988,Bronze,24,F,UM,2
Summer,1988,Bronze,24,M,H,10
Summer,1988,Bronze,24,M,L,4
Summer,1988,Bronze,24,M,LM,4
Summer,1988,Bronze,24,M,UM,5
Summer,1988,Bronze,25,F,H,2
