ID,Name,Sex,Age,Team,NOC,Year,Season,Sport,Event,Medal
2309,Il Alben,F,26,Turkey,TUR,2012,Summer,Basketball,Women's Basketball,N
26353,Meluin de Leon,M,19,Dominican Republic,DOM,1988,Summer,Boxing,Men's Flyweight,N
109597,Martin Joseph Sheridan,M,27,USA,USA,1908,Summer,Athletics,Men's Standing High Jump,N
41514,Fernando Gonzlez,M,18,Ecuador,ECU,1968,Summer,Swimming,Men's 400 metres Freestyle,N
44869,Kamila Hjkov,F,22,Czech Republic,CZE,2010,Winter,Figure Skating,Mixed Ice Dancing,N
24235,Cui Qiuxia,F,21,China,CHN,2012,Summer,Hockey,Women's Hockey,N
123097,Vanja (Franjo-) Udovii,M,21,Serbia,SCG,2004,Summer,Water Polo,Men's Water Polo,Silver
100791,John A. Rigby,M,21,UK,GBR,1964,Winter,Alpine Skiing,Men's Downhill,N
25733,Karyn Dale Davis-Gojnich,F,43,Australia,AUS,2004,Summer,Sailing,Women's Three Person Keelboat,N
24830,Karl Albin Dahl,M,20,Sweden,SWE,1920,Summer,Football,Men's Football,N
91391,"Edward ""Eddie"" Parenti",M,21,Canada,CAN,1992,Summer,Swimming,Men's 200 metres Butterfly,N
2582,"Thomas ""Tom"" Alexander",M,18,Canada,CAN,1976,Summer,Swimming,Men's 400 metres Freestyle,N
101955,"Jamess Galvin ""Jim"" Rogers",M,29,USA,USA,1976,Summer,Handball,Men's Handball,N
120412,Svetlana Alekseyevna Timoshinina (Khokhlova-),F,23,Russia,RUS,1996,Summer,Diving,Women's Platform,N
93953,Hrachya Petikyan,M,28,Russia,URS,1988,Summer,Shooting,"Men's Small-Bore Rifle, Three Positions, 50 metres",N
115786,Ratko tritof,M,28,Croatia,CRO,2000,Summer,Water Polo,Men's Water Polo,N
63817,Pontus Sebastian Kraupp,M,28,Sweden,SWE,2014,Winter,Curling,Men's Curling,Bronze
126079,Valerio Vermiglio,M,32,Italy,ITA,2008,Summer,Volleyball,Men's Volleyball,N
108876,Antonio Serrano Snchez,M,27,Spain,ESP,1992,Summer,Athletics,"Men's 5,000 metres",N
123931,"Rudolf ""Rudi"" Valeni",M,27,Serbia,YUG,1968,Summer,Cycling,"Men's Road Race, Individual",N
79694,Roland Mikler,M,27,Hungary,HUN,2012,Summer,Handball,Men's Handball,N
13713,Pietro Boscaini,M,17,Italy,ITA,1964,Summer,Swimming,Men's 100 metres Freestyle,N
89735,Misaki Oshigiri,F,21,Japan,JPN,2014,Winter,Speed Skating,"Women's 1,500 metres",N
4198,Nikolay Yefimovich Andrianov,M,19,Russia,URS,1972,Summer,Gymnastics,Men's Pommelled Horse,N
123616,Yevgeny Romanovich Ustyugov,M,24,Russia,RUS,2010,Winter,Biathlon,Men's 15 kilometres Mass Start,Gold
30167,Danny D'Souza,M,20,Seychelles,SEY,2008,Summer,Athletics,Men's 100 metres,N
57028,Matthews Kambale,M,31,Malawi,MAW,1984,Summer,Athletics,Men's Marathon,N
58581,"Jonathan ""Jon"" Kelly",M,22,Canada,CAN,1988,Summer,Swimming,Men's 400 metres Individual Medley,N
114513,Vernon Ronald Stauble,M,18,Trinidad,TTO,1968,Summer,Cycling,"Men's Individual Pursuit, 4,000 metres",N
8799,Nick Baumgartner,M,32,USA,USA,2014,Winter,Snowboarding,Men's Boardercross,N
130503,"Mary Patricia ""Patsy"" Willard (-Heckel)",F,19,USA,USA,1960,Summer,Diving,Women's Springboard,N
92133,Christine Patton,F,44,Bermuda,BER,2004,Summer,Sailing,Women's Three Person Keelboat,N
109195,Ibrahim Shameel,M,16,Maldives,MDV,2008,Summer,Swimming,Men's 50 metres Freestyle,N
84475,Aleksandar Nanev,M,29,Bulgaria,BUL,1988,Summer,Wrestling,"Men's Middleweight, Freestyle",N
121321,Radams Torruella del Valle,M,28,Puerto Rico,PUR,1968,Summer,Sailing,Mixed Two Person Heavyweight Dinghy,N
80576,Yoshio Miyake,M,22,Japan,JPN,1936,Summer,Gymnastics,Men's Horse Vault,N
121912,Slobodan Trifunovi,M,24,Serbia,YUG,1980,Summer,Water Polo,Men's Water Polo,Silver
46629,Leif Haugen,M,30,Norway,NOR,1948,Winter,Cross Country Skiing,Men's 50 kilometres,N
30115,Istvn (Stefan) Drubina,M,23,Hungary,HUN,1908,Summer,Athletics,"Men's 3,500 metres Walk",N
95254,Lidia Pitteri,F,18,Italy,ITA,1952,Summer,Gymnastics,Women's Uneven Bars,N
56643,Pavlos Kagialis,M,32,Greece,GRE,2016,Summer,Sailing,Men's Two Person Dinghy,Bronze
22547,Marie-Angline Colson,F,16,France,FRA,1992,Summer,Gymnastics,Women's Individual All-Around,N
46887,Todd Mitchell Haywood,M,24,New Zealand,NZL,2002,Winter,Alpine Skiing,Men's Slalom,N
62480,Hiroyuki Konishi,M,25,Japan,JPN,1988,Summer,Gymnastics,Men's Horse Vault,N
